City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
629,Matamoros,MX,78.91,broken clouds,25.5333,-103.25,Quinta Belem
630,Dharur,IN,61.16,clear sky,18.8167,76.1167,Hotel Rajmahal
631,Carutapera,BR,74.77,moderate rain,-1.195,-46.02,Lidera
635,Nacala,MZ,73.33,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
637,Whittlesea,ZA,67.24,overcast clouds,-32.1759,26.8244,Eddie's Nest B&B
639,Taitung,TW,61.07,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
643,Itarema,BR,77.04,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
644,Yambio,SS,70.03,scattered clouds,4.5721,28.3955,Naivasha Hotel
647,Perth,AU,71.78,clear sky,-31.9333,115.8333,Beatty Lodge
650,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
651,Tambopata,PE,76.89,broken clouds,-12.7333,-69.1833,
652,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
653,Barreiras,BR,70.75,overcast clouds,-12.1528,-44.99,Príncipe Hotel
656,Cantapoy,PH,77.85,broken clouds,9.4906,125.4364,Brgy Pili Mountain View
657,Inongo,CD,77.05,overcast clouds,-1.95,18.2667,Hotel Du Lac
663,Celestun,MX,70.54,clear sky,20.8667,-90.4,Posada Lilia
664,Axim,GH,78.44,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
668,Mazagao,BR,75.25,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
669,Srivardhan,IN,69.28,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
674,Loubomo,CG,72.01,overcast clouds,-4.1997,12.6739,La Dolisienne
676,Gorontalo,ID,75.74,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
677,Labuan,MY,77.36,thunderstorm,5.2767,115.2417,Tiara Labuan Hotel
681,Alice Springs,AU,74.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
684,Guerrero Negro,MX,64.17,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
685,Daru,PG,77.05,overcast clouds,-9.0763,143.2092,Daru Lodge
687,Porto Santo,PT,64.31,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
689,Malanje,AO,64.51,overcast clouds,-9.5402,16.341,Hotel Ginga
690,Barabai,ID,74.75,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
691,Owerri,NG,72.66,overcast clouds,5.4833,7.0304,Donamario
692,Tondano,ID,68.09,overcast clouds,1.3038,124.9112,Villa Bella
693,Grand-Lahou,CI,78.94,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
695,Rakaia,NZ,77.38,clear sky,-43.75,172.0167,St Itas Guesthouse
696,Cuamba,MZ,66.85,scattered clouds,-14.8031,36.5372,Hotel Vision
697,Pedro Leopoldo,BR,76.57,broken clouds,-19.6181,-44.0431,JJ Imoveis PL
700,Moshi,TZ,73.38,overcast clouds,-3.35,37.3333,Osy Grand Hotel
702,Farafangana,MG,74.41,few clouds,-22.8167,47.8333,Miarina
703,Monrovia,LR,76.77,few clouds,6.3005,-10.7969,Sunset Inn
704,Coari,BR,74.73,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
708,Chicama,PE,68.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
709,Kisangani,CD,71.98,overcast clouds,0.5167,25.2,Grand Ramela Hotel
710,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
712,Kuala Selangor,MY,79.0,broken clouds,3.35,101.25,Apps Hotel
713,Maine-Soroa,NE,62.19,clear sky,13.2114,12.0241,Complexe
714,Boca Do Acre,BR,74.62,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
716,Kroya,ID,77.2,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
717,Ouadda,CF,64.4,scattered clouds,8.0777,22.4007,
722,Nautla,MX,69.85,scattered clouds,20.2167,-96.7833,Casa Blanca
723,Nagar Karnul,IN,65.55,clear sky,16.4821,78.3247,Sanjeevani Hills
727,Grover Beach,US,71.24,clear sky,35.1216,-120.6213,SeaCrest OceanFront Hotel
728,Porto Belo,BR,75.15,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
731,Mabaruma,GY,74.14,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
732,Pakxan,LA,61.72,broken clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
733,Las Palmas,ES,61.59,haze,28.4204,-14.0131,Casillas De Morales 59.
734,Arlit,NE,63.9,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
742,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
746,Ulundi,ZA,65.95,overcast clouds,-28.3352,31.4162,Ekhethelo Lodge Ulundi
749,Savannah Bight,HN,73.99,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
759,Waitati,NZ,70.75,clear sky,-45.75,170.5667,Arden Country House BnB Dunedin
764,Boda,CF,72.25,broken clouds,4.3189,17.4695,
767,Sao Jose Da Coroa Grande,BR,79.2,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
770,Beboto,TD,71.44,broken clouds,8.2668,16.939,
771,Bandarbeyla,SO,75.2,overcast clouds,9.4942,50.8122,JABIR HOTEL
772,Morant Bay,JM,76.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
773,Kishi,NG,74.64,overcast clouds,9.0833,3.85,New NCCF KISI
775,San Mateo Del Mar,MX,76.96,clear sky,16.2,-95.0,
778,Tartagal,AR,77.52,clear sky,-22.5164,-63.8013,Almuñecar Hotel
779,Chabahar,IR,71.65,clear sky,25.2919,60.643,هتل گدروشیا
784,Estelle,US,63.0,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
785,Payo,ID,72.03,overcast clouds,-3.7508,103.6372,Mess keban agung
786,Kaduqli,SD,67.91,scattered clouds,11.0167,29.7167,فندق الله جابو
790,Bougouni,ML,77.88,clear sky,11.417,-7.479,Non Stop
792,Ouagadougou,BF,77.13,clear sky,12.3642,-1.5383,Centrale Hotel
797,Half Moon Bay,US,67.73,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
