City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Luderitz,NA,2022-01-28 02:02:19,-26.6481,15.1594,66.45,75,0,23.11
199,Tabou,CI,2022-01-28 02:02:19,4.423,-7.3528,78.8,80,68,4.92
200,Viedma,AR,2022-01-28 02:02:19,-40.8135,-62.9967,67.95,52,0,18.75
201,Knin,HR,2022-01-28 02:02:20,44.0439,16.2,38.12,84,1,1.95
202,Airai,TL,2022-01-28 02:02:20,-8.9266,125.4092,73.26,58,61,4.45
203,Santa Rosa,PH,2022-01-28 02:02:21,14.3122,121.1114,86.11,70,48,10.18
204,Marawi,PH,2022-01-28 02:02:21,7.9986,124.2928,70.65,64,49,2.91
205,San Quintin,MX,2022-01-28 02:02:21,30.4833,-115.95,59.04,68,100,6.76
206,Smithers,CA,2022-01-28 02:02:22,54.7804,-127.1743,16.75,93,56,1.07
207,Bowen,AU,2022-01-28 02:02:22,-20.0167,148.2333,82.06,73,100,17.13
208,Pozzallo,IT,2022-01-28 02:02:23,36.7305,14.8499,36.25,77,11,8.5
209,Beloha,MG,2022-01-28 02:02:23,-25.1667,45.05,68.16,81,0,9.89
210,Xuddur,SO,2022-01-28 02:02:23,4.1213,43.8894,68.04,62,100,11.92
211,Butajira,ET,2022-01-28 02:02:24,8.1167,38.3667,54.7,46,96,5.91
212,Mackay,AU,2022-01-28 02:02:24,-21.15,149.2,83.68,69,100,16.84
213,Elizabeth City,US,2022-01-28 01:58:40,36.2946,-76.2511,33.98,79,4,3.6
214,Girona,ES,2022-01-28 02:02:25,41.9831,2.8249,51.21,89,2,0.0
215,Masuguru,TZ,2022-01-28 02:02:25,-11.3667,38.4167,70.9,98,100,3.18
216,Hambantota,LK,2022-01-28 02:02:26,6.1241,81.1185,66.54,100,0,5.75
217,Yerbogachen,RU,2022-01-28 02:02:26,61.2767,108.0108,-25.31,100,89,3.96
218,Ndende,GA,2022-01-28 02:02:26,-2.4008,11.3581,72.7,96,99,1.34
219,Cidreira,BR,2022-01-28 02:02:27,-30.1811,-50.2056,72.45,61,92,12.24
220,Great Bend,US,2022-01-28 02:02:27,38.3645,-98.7648,34.61,78,0,8.05
221,Georgetown,MY,2022-01-28 01:58:06,5.4112,100.3354,84.13,85,20,1.01
222,Malinyi,TZ,2022-01-28 02:02:28,-8.9333,36.1333,71.58,96,100,0.34
223,Lidkoping,SE,2022-01-28 02:02:28,58.5052,13.1577,38.41,3,30,18.12
224,Nantucket,US,2022-01-28 02:02:08,41.2835,-70.0995,32.11,68,75,14.97
225,Kushiro,JP,2022-01-28 02:02:29,42.975,144.3747,21.43,72,100,0.29
226,Benguela,AO,2022-01-28 02:02:29,-12.5763,13.4055,78.1,78,100,5.88
227,Bilma,NE,2022-01-28 02:02:29,18.6853,12.9164,55.13,24,5,8.95
228,Killybegs,IE,2022-01-28 02:03:30,54.6333,-8.45,38.44,84,100,7.56
229,Ancud,CL,2022-01-28 02:03:30,-41.8697,-73.8203,61.43,86,0,2.91
230,Vagur,FO,2022-01-28 02:03:31,61.4732,-6.8119,43.75,78,100,22.55
231,Ramsar,IR,2022-01-28 02:03:31,36.9226,50.6426,44.64,90,99,8.05
232,Fairbanks,US,2022-01-28 02:03:32,64.8378,-147.7164,-7.26,75,100,0.0
233,Mar Del Plata,AR,2022-01-28 02:00:30,-38.0023,-57.5575,61.88,75,0,1.99
234,Tutoia,BR,2022-01-28 02:03:33,-2.7619,-42.2744,76.98,86,100,10.69
235,Buin,CL,2022-01-28 02:03:34,-33.7333,-70.75,71.87,79,0,3.42
236,Aguilas,ES,2022-01-28 02:03:34,37.4063,-1.5829,51.06,84,34,9.01
237,Neuquen,AR,2022-01-28 01:59:17,-38.9516,-68.0591,80.49,29,0,5.75
238,Fallon,US,2022-01-28 02:03:35,39.4735,-118.7774,37.92,51,0,6.91
239,Iskateley,RU,2022-01-28 02:03:35,67.6803,53.1512,9.28,95,97,12.39
240,Tura,IN,2022-01-28 02:00:45,25.5198,90.2201,53.1,54,0,1.3
241,Poya,NC,2022-01-28 02:03:35,-21.35,165.15,88.95,59,62,8.12
242,Zavodoukovsk,RU,2022-01-28 02:03:36,56.5042,66.5515,-0.98,99,56,4.85
243,Tagusao,PH,2022-01-28 02:03:36,9.1924,117.8141,82.99,72,100,5.19
244,Zyryanka,RU,2022-01-28 02:03:37,65.75,150.85,-26.7,96,100,6.06
245,Kamenskiy,RU,2022-01-28 02:03:37,50.8855,45.488,17.78,96,100,4.32
246,Boma,GH,2022-01-28 02:03:38,7.0805,-2.1697,69.22,62,11,2.37
247,Kodinsk,RU,2022-01-28 02:03:38,58.6881,99.1844,-16.64,100,99,0.83
248,Katherine,AU,2022-01-28 02:03:38,-14.4667,132.2667,88.12,62,40,14.97
249,Kapustin Yar,RU,2022-01-28 02:03:39,48.5831,45.7372,16.75,98,92,3.8
250,Ossora,RU,2022-01-28 02:03:39,59.2353,163.0719,31.24,97,100,30.51
251,Pastavy,BY,2022-01-28 02:03:40,55.1168,26.8326,33.35,98,100,16.24
252,Mitsamiouli,KM,2022-01-28 02:03:40,-11.3847,43.2844,79.43,77,22,2.64
253,Vao,NC,2022-01-28 02:03:40,-22.6667,167.4833,78.57,84,100,15.43
254,Lufilufi,WS,2022-01-28 02:03:41,-13.8745,-171.5986,83.16,71,100,26.02
255,Amapa,BR,2022-01-28 02:03:41,1.0,-52.0,70.97,99,100,1.88
256,Antalaha,MG,2022-01-28 02:03:42,-14.9003,50.2788,72.39,85,70,6.55
257,Yeppoon,AU,2022-01-28 02:03:42,-23.1333,150.7333,85.78,57,57,16.67
258,Kununurra,AU,2022-01-28 02:03:43,-15.7667,128.7333,87.78,70,40,11.5
259,Lucapa,AO,2022-01-28 02:03:43,-8.4192,20.7447,63.7,95,100,1.59
260,Mount Gambier,AU,2022-01-28 02:03:43,-37.8333,140.7667,77.54,48,0,8.34
261,Port Hardy,CA,2022-01-28 02:00:34,50.6996,-127.4199,47.75,74,97,9.82
262,Envigado,CO,2022-01-28 01:58:52,6.1706,-75.5853,65.3,96,75,2.3
263,Nouadhibou,MR,2022-01-28 02:03:44,20.931,-17.0347,62.62,78,100,19.44
264,Ribeira Grande,PT,2022-01-28 02:03:44,38.5167,-28.7,60.21,73,8,7.45
