City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Jabinyanah,TN,35.035,10.9081,53.11,44,0,9.48,clear sky
178,Plauen,DE,50.5,12.1333,35.78,72,56,3.0,broken clouds
179,Mount Gambier,AU,-37.8333,140.7667,64.31,100,100,4.61,overcast clouds
180,Yellowknife,CA,62.456,-114.3525,-6.59,83,75,8.05,light snow
181,Vila Velha,BR,-20.3297,-40.2925,78.94,85,20,5.75,few clouds
182,Yulara,AU,-25.2406,130.9889,73.89,86,100,17.52,overcast clouds
183,Bafq,IR,31.6128,55.4107,45.14,35,54,1.12,broken clouds
184,Gondanglegi,ID,-7.7479,112.0132,75.7,91,100,2.26,overcast clouds
185,Kruisfontein,ZA,-34.0033,24.7314,65.88,96,84,2.75,broken clouds
186,Fortuna,US,40.5982,-124.1573,60.19,78,20,4.0,few clouds
187,Tuktoyaktuk,CA,69.4541,-133.0374,-4.23,96,100,16.87,overcast clouds
188,Bayangol,RU,50.6977,103.4656,-17.46,97,38,3.15,scattered clouds
189,Buala,SB,-8.145,159.5921,83.84,74,99,5.06,light rain
190,Kirksville,US,40.1948,-92.5833,28.35,62,0,1.99,clear sky
191,Smithers,CA,54.7804,-127.1743,33.94,91,89,3.91,light snow
192,Constitucion,CL,-35.3333,-72.4167,63.43,70,4,18.39,clear sky
193,Comarapa,BO,-17.9,-64.4833,59.49,84,51,3.78,broken clouds
194,Victoria,HK,22.2855,114.1577,59.32,78,88,1.99,overcast clouds
195,Broken Hill,AU,-31.95,141.4333,78.51,63,100,7.94,overcast clouds
196,Gamba,GA,-2.65,10.0,77.54,84,100,3.44,overcast clouds
197,Tasiilaq,GL,65.6145,-37.6368,8.76,53,97,10.58,overcast clouds
198,Turrialba,CR,9.9047,-83.6835,78.62,88,72,4.14,broken clouds
199,Dalvik,IS,65.9702,-18.5286,21.78,74,86,30.15,overcast clouds
200,Haukipudas,FI,65.1765,25.3523,8.65,94,100,6.82,overcast clouds
201,Nantucket,US,41.2835,-70.0995,21.34,58,0,10.36,clear sky
202,Harper,LR,4.375,-7.7169,79.52,86,61,7.16,broken clouds
203,Thompson,CA,55.7435,-97.8558,1.83,95,100,5.77,overcast clouds
204,Gogrial,SS,8.5332,28.1004,70.74,20,77,6.2,broken clouds
205,Mildura,AU,-34.2,142.15,88.07,30,1,5.75,clear sky
206,San Patricio,US,28.017,-97.5169,68.16,61,56,12.3,broken clouds
207,Longyearbyen,SJ,78.2186,15.6401,6.64,66,0,20.71,clear sky
208,Maslovare,BA,44.5656,17.5336,28.44,78,2,5.21,clear sky
209,Nome,US,64.5011,-165.4064,0.1,71,0,0.0,clear sky
210,Raudeberg,NO,61.9875,5.1352,33.87,69,100,3.0,overcast clouds
211,Klaksvik,FO,62.2266,-6.589,36.52,67,100,39.48,overcast clouds
212,Hami,CN,42.8,93.45,22.51,43,100,0.94,overcast clouds
213,Hithadhoo,MV,-0.6,73.0833,81.55,70,76,8.93,broken clouds
214,Jumla,NP,29.2747,82.1838,35.2,44,0,4.0,clear sky
215,El Bagre,CO,7.5927,-74.8086,76.35,84,72,1.68,broken clouds
216,Kaitangata,NZ,-46.2817,169.8464,69.93,74,17,3.38,few clouds
217,Amapa,BR,1.0,-52.0,71.82,99,77,2.57,broken clouds
218,Pandhana,IN,21.7,76.2167,61.5,29,3,4.97,clear sky
219,Sydney,AU,-33.8679,151.2073,82.31,74,40,1.01,scattered clouds
